order_item_id,order_id,product_id,quantity,unit_price,line_revenue,customer_id,order_date,status,customer_name,email,city,signup_date,product_name,category,price
1,1001,22,1,3026.6,3026.6,127,2024-12-19,Cancelled,Neha Chawla,neha.chawla127@example.com,Chennai,2025-07-22,Electric Kettle,Home & Kitchen,3026.6
2,1002,1,1,620.58,620.58,66,2024-11-25,Delivered,Kabir Reddy,kabir.reddy66@example.com,Delhi,2025-07-27,Wireless Earbuds,Electronics,620.58
3,1002,29,1,4622.23,4622.23,66,2024-11-25,Delivered,Kabir Reddy,kabir.reddy66@example.com,Delhi,2025-07-27,Face Wash 100ml,Beauty,3089.4
4,1003,6,1,684.26,684.26,101,2024-08-27,Returned,Meera Sharma,meera.sharma101@example.com,Unknown,2025-08-12,Power Bank 10000mAh,Electronics,684.26
5,1003,9,1,3514.91,3514.91,101,2024-08-27,Returned,Meera Sharma,meera.sharma101@example.com,Unknown,2025-08-12,Webcam HD,Electronics,3514.91
6,1003,40,1,5930.5,5930.5,101,2024-08-27,Returned,Meera Sharma,meera.sharma101@example.com,Unknown,2025-08-12,Yoga Mat,Sports,5930.5
9,1005,15,2,4574.17,9148.34,65,2025-08-27,Cancelled,Krishna Joshi,krishna.joshi65@example.com,Kolkata,2024-02-10,Leather Wallet,Fashion,4574.17
10,1005,45,1,2266.41,2266.41,65,2025-08-27,Cancelled,Krishna Joshi,krishna.joshi65@example.com,Kolkata,2024-02-10,Skipping Rope,Sports,2266.41
11,1006,5,2,1614.65,3229.3,24,2024-04-12,Processing,Ishaan Bansal,ishaan.bansal24@example.com,Bengaluru,2024-09-26,USB-C Hub,Electronics,1614.65
12,1007,34,1,2810.73,2810.73,80,2024-03-17,Processing,Krishna Chawla,krishna.chawla80@example.com,Delhi,2025-02-16,Shampoo 340ml,Beauty,2810.73
13,1008,9,1,3514.91,3514.91,1,2025-12-10,Returned,Rohan Reddy,rohan.reddy1@example.com,Bengaluru,2024-10-08,Webcam HD,Electronics,3514.91
14,1008,22,3,3026.6,9079.8,1,2025-12-10,Returned,Rohan Reddy,rohan.reddy1@example.com,Bengaluru,2024-10-08,Electric Kettle,Home & Kitchen,3026.6
15,1008,32,1,1486.25,1486.25,1,2025-12-10,Returned,Rohan Reddy,rohan.reddy1@example.com,Bengaluru,2024-10-08,Hair Serum,Beauty,3089.4
16,1009,2,1,383.19,383.19,141,2025-01-24,Cancelled,Kabir Reddy,kabir.reddy141@example.com,Chennai,2025-03-02,Bluetooth Speaker,Electronics,383.19
17,1010,42,2,3324.17,6648.34,18,2025-07-08,Delivered,Riya Rao,riya.rao18@example.com,Pune,2025-08-21,Cricket Bat,Sports,3324.17
18,1011,35,1,1989.93,1989.93,148,2024-08-20,Delivered,Ayaan Singh,ayaan.singh148@example.com,Delhi,2024-04-27,Fiction Bestseller,Books,1989.93
19,1011,40,1,5930.5,5930.5,148,2024-08-20,Delivered,Ayaan Singh,ayaan.singh148@example.com,Delhi,2024-04-27,Yoga Mat,Sports,5930.5
20,1012,45,1,2266.41,2266.41,129,2025-12-21,Delivered,Meera Kapoor,meera.kapoor129@example.com,Mumbai,2025-11-10,Skipping Rope,Sports,2266.41
21,1013,17,1,3961.33,3961.33,15,2024-02-17,Cancelled,Kabir Verma,kabir.verma15@example.com,Kolkata,2024-11-19,Formal Shirt,Fashion,3961.33
22,1014,41,1,4020.74,4020.74,36,2025-03-17,Delivered,Aditya Pillai,aditya.pillai36@example.com,Mumbai,2024-10-12,Adjustable Dumbbell Set,Sports,2567.5
23,1014,1,1,620.58,620.58,36,2025-03-17,Delivered,Aditya Pillai,aditya.pillai36@example.com,Mumbai,2024-10-12,Wireless Earbuds,Electronics,620.58
24,1015,7,1,5777.18,5777.18,93,2024-06-23,Delivered,Anika Menon,anika.menon93@example.com,Kolkata,2025-03-29,Mechanical Keyboard,Electronics,5777.18
25,1016,7,1,5777.18,5777.18,124,2025-05-24,Delivered,Diya Sharma,diya.sharma124@example.com,Chennai,2024-11-28,Mechanical Keyboard,Electronics,5777.18
26,1017,34,2,2810.73,5621.46,5,2025-04-21,Shipped,Varun Sharma,varun.sharma5@example.com,Kolkata,2024-06-12,Shampoo 340ml,Beauty,2810.73
27,1017,13,1,1726.64,1726.64,5,2025-04-21,Shipped,Varun Sharma,varun.sharma5@example.com,Kolkata,2024-06-12,Denim Jacket,Fashion,1726.64
28,1017,23,1,683.77,683.77,5,2025-04-21,Shipped,Varun Sharma,varun.sharma5@example.com,Kolkata,2024-06-12,LED Desk Lamp,Home & Kitchen,683.77
29,1018,1,1,620.58,620.58,58,2024-12-19,Shipped,Sai Reddy,sai.reddy58@example.com,Pune,2025-07-20,Wireless Earbuds,Electronics,620.58
30,1019,37,1,5825.58,5825.58,129,2025-04-12,Shipped,Meera Kapoor,meera.kapoor129@example.com,Mumbai,2025-11-10,Children's Story Set,Books,5825.58
31,1020,33,1,3368.07,3368.07,122,2025-01-25,Cancelled,Sneha Rao,sneha.rao122@example.com,Delhi,2024-09-08,Body Lotion 200ml,Beauty,3368.07
32,1021,42,1,3324.17,3324.17,53,2024-01-23,Returned,Diya Iyer,diya.iyer53@example.com,Bengaluru,2025-04-14,Cricket Bat,Sports,3324.17
33,1021,15,2,4574.17,9148.34,53,2024-01-23,Returned,Diya Iyer,diya.iyer53@example.com,Bengaluru,2025-04-14,Leather Wallet,Fashion,4574.17
34,1021,30,2,1836.07,3672.14,53,2024-01-23,Returned,Diya Iyer,diya.iyer53@example.com,Bengaluru,2025-04-14,Sunscreen SPF50,Beauty,1836.07
35,1021,19,1,1211.71,1211.71,53,2024-01-23,Returned,Diya Iyer,diya.iyer53@example.com,Bengaluru,2025-04-14,Sports Cap,Fashion,1211.71
36,1022,3,1,2677.37,2677.37,26,2025-09-12,Processing,Anika Singh,anika.singh26@example.com,Bengaluru,2025-01-17,Smartwatch,Electronics,2677.37
37,1023,22,2,3026.6,6053.2,118,2025-09-13,Cancelled,Kiara Verma,kiara.verma118@example.com,Delhi,2025-06-29,Electric Kettle,Home & Kitchen,3026.6
38,1023,23,1,683.77,683.77,118,2025-09-13,Cancelled,Kiara Verma,kiara.verma118@example.com,Delhi,2025-06-29,LED Desk Lamp,Home & Kitchen,683.77
39,1024,22,1,3026.6,3026.6,71,2025-10-05,Delivered,Aadhya Joshi,aadhya.joshi71@example.com,Mumbai,2024-08-21,Electric Kettle,Home & Kitchen,3026.6
40,1025,18,2,5509.03,11018.06,32,2025-03-27,Delivered,Riya Singh,riya.singh32@example.com,Pune,2024-11-15,Women's Handbag,Fashion,5509.03
41,1025,25,2,2099.85,4199.7,32,2025-03-27,Delivered,Riya Singh,riya.singh32@example.com,Pune,2024-11-15,Cotton Bedsheet Set,Home & Kitchen,2099.85
42,1025,45,1,2266.41,2266.41,32,2025-03-27,Delivered,Riya Singh,riya.singh32@example.com,Pune,2024-11-15,Skipping Rope,Sports,2266.41
43,1025,31,3,5679.38,17038.14,32,2025-03-27,Delivered,Riya Singh,riya.singh32@example.com,Pune,2024-11-15,Lip Balm Pack,Beauty,5679.38
44,1026,38,1,2514.42,2514.42,47,2024-10-29,Cancelled,Vivaan Bhat,vivaan.bhat47@example.com,Bengaluru,2024-11-17,Cookbook,Books,2514.42
45,1027,40,1,5930.5,5930.5,68,2025-07-06,Cancelled,Saanvi Sharma,saanvi.sharma68@example.com,Bengaluru,2024-12-06,Yoga Mat,Sports,5930.5
46,1028,44,2,1247.36,2494.72,85,2024-09-20,Processing,Rahul Gupta,rahul.gupta85@example.com,Pune,2024-03-27,Resistance Bands Set,Sports,1247.36
47,1029,31,2,5679.38,11358.76,66,2024-04-27,Processing,Kabir Reddy,kabir.reddy66@example.com,Delhi,2025-07-27,Lip Balm Pack,Beauty,5679.38
48,1029,32,1,3089.4,3089.4,66,2024-04-27,Processing,Kabir Reddy,kabir.reddy66@example.com,Delhi,2025-07-27,Hair Serum,Beauty,3089.4
49,1029,8,2,5040.36,10080.72,66,2024-04-27,Processing,Kabir Reddy,kabir.reddy66@example.com,Delhi,2025-07-27,Wireless Mouse,Electronics,5040.36
50,1030,37,3,5825.58,17476.739999999998,116,2025-11-23,Returned,Meera Singh,meera.singh116@example.com,Bengaluru,2025-08-29,Children's Story Set,Books,5825.58
51,1030,15,1,4574.17,4574.17,116,2025-11-23,Returned,Meera Singh,meera.singh116@example.com,Bengaluru,2025-08-29,Leather Wallet,Fashion,4574.17
52,1031,7,1,5777.18,5777.18,127,2024-04-02,Returned,Neha Chawla,neha.chawla127@example.com,Chennai,2025-07-22,Mechanical Keyboard,Electronics,5777.18
53,1031,28,1,2079.35,2079.35,127,2024-04-02,Returned,Neha Chawla,neha.chawla127@example.com,Chennai,2025-07-22,Storage Organizer Box,Home & Kitchen,2079.35
54,1032,36,2,2041.15,4082.3,135,2025-08-21,Returned,Krishna Sharma,krishna.sharma135@example.com,Unknown,2025-06-30,Self-Help Book,Books,2041.15
55,1033,11,1,5997.5,5997.5,56,2025-11-22,Delivered,Riya Patel,riya.patel56@example.com,Hyderabad,2025-10-31,Men's Cotton T-Shirt,Fashion,5997.5
56,1034,11,2,5997.5,11995.0,30,2024-12-01,Delivered,Riya Nair,riya.nair30@example.com,Bengaluru,2025-11-06,Men's Cotton T-Shirt,Fashion,5997.5
57,1034,5,1,1614.65,1614.65,30,2024-12-01,Delivered,Riya Nair,riya.nair30@example.com,Bengaluru,2025-11-06,USB-C Hub,Electronics,1614.65
58,1035,36,1,2041.15,2041.15,107,2025-12-18,Shipped,Aditya Chawla,aditya.chawla107@example.com,Bengaluru,2025-04-17,Self-Help Book,Books,2041.15
59,1035,42,1,3324.17,3324.17,107,2025-12-18,Shipped,Aditya Chawla,aditya.chawla107@example.com,Bengaluru,2025-04-17,Cricket Bat,Sports,3324.17
